opid,speakername,item,itemLabel,born,year,month,day,sexLabel,dist
9460,Luc Thériault,http://www.wikidata.org/entity/Q1396130,Luc Thériault,1960-01-31,1960,1,31,male,0
224177,Luc Thériault,http://www.wikidata.org/entity/Q1396130,Luc Thériault,1960-01-31,1960,1,31,male,0
8446,John Williamson,http://www.wikidata.org/entity/Q14946726,John Williamson,1970-01-30,1970,1,30,male,0
9999,Mélanie Joly,http://www.wikidata.org/entity/Q15054353,Mélanie Joly,1979-01-16,1979,1,16,female,0
214327,Mélanie Joly,http://www.wikidata.org/entity/Q15054353,Mélanie Joly,1979-01-16,1979,1,16,female,0
214117,Mélanie Joly,http://www.wikidata.org/entity/Q15054353,Mélanie Joly,1979-01-16,1979,1,16,female,0
241627,Mélanie Joly,http://www.wikidata.org/entity/Q15054353,Mélanie Joly,1979-01-16,1979,1,16,female,0
9263,Ted Falk,http://www.wikidata.org/entity/Q15300563,Ted Falk,1960-05-23,1960,5,23,male,0
218051,Ted Falk,http://www.wikidata.org/entity/Q15300563,Ted Falk,1960-05-23,1960,5,23,male,0
216773,Ted Falk,http://www.wikidata.org/entity/Q15300563,Ted Falk,1960-05-23,1960,5,23,male,0
234446,Ted Falk,http://www.wikidata.org/entity/Q15300563,Ted Falk,1960-05-23,1960,5,23,male,0
216139,Ted Falk,http://www.wikidata.org/entity/Q15300563,Ted Falk,1960-05-23,1960,5,23,male,0
218245,Ted Falk,http://www.wikidata.org/entity/Q15300563,Ted Falk,1960-05-23,1960,5,23,male,0
217674,Ted Falk,http://www.wikidata.org/entity/Q15300563,Ted Falk,1960-05-23,1960,5,23,male,0
218443,Ted Falk,http://www.wikidata.org/entity/Q15300563,Ted Falk,1960-05-23,1960,5,23,male,0
216517,Ted Falk,http://www.wikidata.org/entity/Q15300563,Ted Falk,1960-05-23,1960,5,23,male,0
81,Stockwell Day,http://www.wikidata.org/entity/Q1556889,Stockwell Day,1950-08-16,1950,8,16,male,0
435,Pierre Lemieux,http://www.wikidata.org/entity/Q15630791,Pierre Lemieux,1963-04-09,1963,4,9,male,0
212,Rob Nicholson,http://www.wikidata.org/entity/Q1566929,Rob Nicholson,1952-04-29,1952,4,29,male,0
216772,Rob Nicholson,http://www.wikidata.org/entity/Q1566929,Rob Nicholson,1952-04-29,1952,4,29,male,0
234604,Rob Nicholson,http://www.wikidata.org/entity/Q1566929,Rob Nicholson,1952-04-29,1952,4,29,male,0
217546,Rob Nicholson,http://www.wikidata.org/entity/Q1566929,Rob Nicholson,1952-04-29,1952,4,29,male,0
242449,Rob Nicholson,http://www.wikidata.org/entity/Q1566929,Rob Nicholson,1952-04-29,1952,4,29,male,0
9244,Joan Crockatt,http://www.wikidata.org/entity/Q16187027,Joan Crockatt,1955-12-05,1955,12,5,female,0
9382,Kerry Diotte,http://www.wikidata.org/entity/Q16187047,Kerry Diotte,1956-02-26,1956,2,26,male,0
213898,Kerry Diotte,http://www.wikidata.org/entity/Q16187047,Kerry Diotte,1956-02-26,1956,2,26,male,0
216748,Kerry Diotte,http://www.wikidata.org/entity/Q16187047,Kerry Diotte,1956-02-26,1956,2,26,male,0
218055,Kerry Diotte,http://www.wikidata.org/entity/Q16187047,Kerry Diotte,1956-02-26,1956,2,26,male,0
242575,Kerry Diotte,http://www.wikidata.org/entity/Q16187047,Kerry Diotte,1956-02-26,1956,2,26,male,0
573,Carol Hughes,http://www.wikidata.org/entity/Q16192760,Carol Hughes,1958-11-26,1958,11,26,female,0
214948,Carol Hughes,http://www.wikidata.org/entity/Q16192760,Carol Hughes,1958-11-26,1958,11,26,female,0
8810,Susan Truppe,http://www.wikidata.org/entity/Q16193400,Susan Truppe,1959-08-20,1959,8,20,female,0
241487,Richard Martel,http://www.wikidata.org/entity/Q16194184,Richard Martel,1961-03-23,1961,3,23,male,0
242427,Richard Martel,http://www.wikidata.org/entity/Q16194184,Richard Martel,1961-03-23,1961,3,23,male,0
242423,Richard Martel,http://www.wikidata.org/entity/Q16194184,Richard Martel,1961-03-23,1961,3,23,male,0
10335,Hunter Tootoo,http://www.wikidata.org/entity/Q16195363,Hunter Tootoo,1963-08-18,1963,8,18,male,0
214600,Hunter Tootoo,http://www.wikidata.org/entity/Q16195363,Hunter Tootoo,1963-08-18,1963,8,18,male,0
8753,Bernard Trottier,http://www.wikidata.org/entity/Q16196303,Bernard Trottier,1965-03-13,1965,3,13,male,0
9892,Ahmed Hussen,http://www.wikidata.org/entity/Q16211070,Ahmed Hussen,1976-01-01,1976,1,1,male,0
215966,Ahmed Hussen,http://www.wikidata.org/entity/Q16211070,Ahmed Hussen,1976-01-01,1976,1,1,male,0
219678,Ahmed Hussen,http://www.wikidata.org/entity/Q16211070,Ahmed Hussen,1976-01-01,1976,1,1,male,0
229219,Ahmed Hussen,http://www.wikidata.org/entity/Q16211070,Ahmed Hussen,1976-01-01,1976,1,1,male,0
8918,Kellie Leitch,http://www.wikidata.org/entity/Q16211870,Kellie Leitch,1970-07-30,1970,7,30,female,0
218079,Kellie Leitch,http://www.wikidata.org/entity/Q16211870,Kellie Leitch,1970-07-30,1970,7,30,female,0
217556,Kellie Leitch,http://www.wikidata.org/entity/Q16211870,Kellie Leitch,1970-07-30,1970,7,30,female,0
221856,Kellie Leitch,http://www.wikidata.org/entity/Q16211870,Kellie Leitch,1970-07-30,1970,7,30,female,0
242450,Kellie Leitch,http://www.wikidata.org/entity/Q16211870,Kellie Leitch,1970-07-30,1970,7,30,female,0
9603,Mark Gerretsen,http://www.wikidata.org/entity/Q16215273,Mark Gerretsen,1975-06-05,1975,6,5,male,0
215973,Mark Gerretsen,http://www.wikidata.org/entity/Q16215273,Mark Gerretsen,1975-06-05,1975,6,5,male,0
9501,Jean-Yves Duclos,http://www.wikidata.org/entity/Q1685302,Jean-Yves Duclos,1965-01-01,1965,1,1,male,0
214003,Jean-Yves Duclos,http://www.wikidata.org/entity/Q1685302,Jean-Yves Duclos,1965-01-01,1965,1,1,male,0
6424,Mario Beaulieu,http://www.wikidata.org/entity/Q17174697,Mario Beaulieu,1959-01-01,1959,1,1,male,0
214282,Mario Beaulieu,http://www.wikidata.org/entity/Q17174697,Mario Beaulieu,1959-01-01,1959,1,1,male,0
9281,John Barlow,http://www.wikidata.org/entity/Q17305669,John Barlow,1971-10-13,1971,10,13,male,0
218367,John Barlow,http://www.wikidata.org/entity/Q17305669,John Barlow,1971-10-13,1971,10,13,male,0
234393,John Barlow,http://www.wikidata.org/entity/Q17305669,John Barlow,1971-10-13,1971,10,13,male,0
217780,John Barlow,http://www.wikidata.org/entity/Q17305669,John Barlow,1971-10-13,1971,10,13,male,0
217975,John Barlow,http://www.wikidata.org/entity/Q17305669,John Barlow,1971-10-13,1971,10,13,male,0
217695,John Barlow,http://www.wikidata.org/entity/Q17305669,John Barlow,1971-10-13,1971,10,13,male,0
9285,Arnold Chan,http://www.wikidata.org/entity/Q17305769,Arnold Chan,1967-06-10,1967,6,10,male,0
214867,Arnold Chan,http://www.wikidata.org/entity/Q17305769,Arnold Chan,1967-06-10,1967,6,10,male,0
218835,Arnold Chan,http://www.wikidata.org/entity/Q17305769,Arnold Chan,1967-06-10,1967,6,10,male,0
9556,James Maloney,http://www.wikidata.org/entity/Q17386312,James Maloney,1964-07-16,1964,7,16,male,0
219477,James Maloney,http://www.wikidata.org/entity/Q17386312,James Maloney,1964-07-16,1964,7,16,male,0
9276,David Yurdiga,http://www.wikidata.org/entity/Q17513253,David Yurdiga,1964-03-26,1964,3,26,male,0
217352,David Yurdiga,http://www.wikidata.org/entity/Q17513253,David Yurdiga,1964-03-26,1964,3,26,male,0
234442,David Yurdiga,http://www.wikidata.org/entity/Q17513253,David Yurdiga,1964-03-26,1964,3,26,male,0
216679,David Yurdiga,http://www.wikidata.org/entity/Q17513253,David Yurdiga,1964-03-26,1964,3,26,male,0
216970,David Yurdiga,http://www.wikidata.org/entity/Q17513253,David Yurdiga,1964-03-26,1964,3,26,male,0
217512,David Yurdiga,http://www.wikidata.org/entity/Q17513253,David Yurdiga,1964-03-26,1964,3,26,male,0
218673,David Yurdiga,http://www.wikidata.org/entity/Q17513253,David Yurdiga,1964-03-26,1964,3,26,male,0
242434,David Yurdiga,http://www.wikidata.org/entity/Q17513253,David Yurdiga,1964-03-26,1964,3,26,male,0
9243,Erin O'Toole,http://www.wikidata.org/entity/Q1840895,Erin O'Toole,1973-01-22,1973,1,22,male,0
217509,Erin O'Toole,http://www.wikidata.org/entity/Q1840895,Erin O'Toole,1973-01-22,1973,1,22,male,0
234765,Erin O'Toole,http://www.wikidata.org/entity/Q1840895,Erin O'Toole,1973-01-22,1973,1,22,male,0
216104,Erin O'Toole,http://www.wikidata.org/entity/Q1840895,Erin O'Toole,1973-01-22,1973,1,22,male,0
216905,Erin O'Toole,http://www.wikidata.org/entity/Q1840895,Erin O'Toole,1973-01-22,1973,1,22,male,0
218606,Erin O'Toole,http://www.wikidata.org/entity/Q1840895,Erin O'Toole,1973-01-22,1973,1,22,male,0
216201,Erin O'Toole,http://www.wikidata.org/entity/Q1840895,Erin O'Toole,1973-01-22,1973,1,22,male,0
8959,Mark Adler,http://www.wikidata.org/entity/Q1841200,Mark Adler,1962-03-17,1962,3,17,male,0
9294,Jim Eglinski,http://www.wikidata.org/entity/Q18685856,Jim Eglinski,1948-12-15,1948,12,15,male,0
217578,Jim Eglinski,http://www.wikidata.org/entity/Q18685856,Jim Eglinski,1948-12-15,1948,12,15,male,0
234433,Jim Eglinski,http://www.wikidata.org/entity/Q18685856,Jim Eglinski,1948-12-15,1948,12,15,male,0
216140,Jim Eglinski,http://www.wikidata.org/entity/Q18685856,Jim Eglinski,1948-12-15,1948,12,15,male,0
