"id","dob","gender"
"ca.m.1",1942-08-18,"male"
"ca.m.10",1959-11-17,"male"
"ca.m.100",1960-08-30,"male"
"ca.m.1000",1869-04-07,"male"
"ca.m.1007",1835-02-01,"male"
"ca.m.1009",1878-09-05,"male"
"ca.m.101",1972-06-18,"female"
"ca.m.1010",1962-12-19,"female"
"ca.m.1017",1867-04-24,"male"
"ca.m.1018",1874-09-13,"male"
"ca.m.102",1957-10-03,"female"
"ca.m.1026",1875-05-01,"male"
"ca.m.1028",1881-04-26,"male"
"ca.m.103",1945-11-18,"male"
"ca.m.1030",1894-09-22,"male"
"ca.m.1033",1840-05-08,"male"
"ca.m.1034",1887-08-13,"male"
"ca.m.1037",1966-01-01,"female"
"ca.m.104",1972-06-17,"male"
"ca.m.1041",1851-04-23,"male"
"ca.m.1046",1879-07-29,"male"
"ca.m.1047",1862-08-21,"male"
"ca.m.1049",1854-12-01,"male"
"ca.m.105",1940-03-16,"female"
"ca.m.1050",1882-04-09,"male"
"ca.m.1056",1857-12-08,"male"
"ca.m.1057",1937-09-23,"female"
"ca.m.1059",1909-01-28,"male"
"ca.m.106",1950-01-13,"male"
"ca.m.1060",1868-08-05,"male"
"ca.m.1063",1966-11-20,"male"
"ca.m.1065",1904-07-11,"male"
"ca.m.1068",1930-10-02,"male"
"ca.m.1069",1837-01-01,"male"
"ca.m.107",1944-07-21,"male"
"ca.m.1070",1879-06-29,"male"
"ca.m.1078",1936-04-26,"male"
"ca.m.1079",1854-02-03,"male"
"ca.m.108",1882-07-01,"male"
"ca.m.1080",1881-01-18,"male"
"ca.m.1081",1845-03-29,"male"
"ca.m.1082",1968-05-13,"male"
"ca.m.1083",1909-05-18,"male"
"ca.m.1084",1863-10-23,"male"
"ca.m.1085",1844-08-12,"male"
"ca.m.109",1941-08-06,"female"
"ca.m.1098",1939-01-02,"male"
"ca.m.1099",1847-04-28,"male"
"ca.m.11",1962-11-14,"male"
"ca.m.110",1850-06-12,"male"
"ca.m.1104",1890-01-13,"male"
"ca.m.1109",1898-11-18,"male"
"ca.m.1110",1864-08-06,"male"
"ca.m.1111",1916-04-08,"male"
"ca.m.1117",1884-07-08,"male"
"ca.m.1118",1939-08-02,"male"
"ca.m.112",1948-04-16,"female"
"ca.m.1121",1860-12-15,"male"
"ca.m.1122",1925-12-10,"male"
"ca.m.1124",1888-02-04,"male"
"ca.m.1127",1900-10-08,"male"
"ca.m.1128",1858-10-06,"male"
"ca.m.113",1960-05-23,"female"
"ca.m.1130",1900-09-10,"male"
"ca.m.1131",1907-11-03,"male"
"ca.m.1137",1909-07-26,"male"
"ca.m.1140",1860-07-01,"male"
"ca.m.1143",1912-08-01,"male"
"ca.m.1149",1901-04-21,"male"
"ca.m.115",1945-05-26,"male"
"ca.m.1152",1860-06-28,"male"
"ca.m.1156",1935-03-11,"male"
"ca.m.1157",1882-07-19,"male"
"ca.m.1159",1872-05-13,"male"
"ca.m.116",1950-02-18,"male"
"ca.m.1160",1870-05-15,"male"
"ca.m.1161",1863-11-22,"male"
"ca.m.1162",1941-05-16,"male"
"ca.m.1163",1912-04-23,"male"
"ca.m.1164",1943-12-23,"male"
"ca.m.1170",1910-07-26,"male"
"ca.m.1171",1869-01-02,"male"
"ca.m.1172",1954-02-02,"female"
"ca.m.1175",1847-10-29,"male"
"ca.m.1178",1933-03-09,"male"
"ca.m.118",1942-12-19,"male"
"ca.m.1180",1898-08-27,"male"
"ca.m.1181",1889-12-04,"male"
"ca.m.1186",1837-06-10,"male"
"ca.m.1189",1892-09-12,"male"
"ca.m.119",1955-05-12,"male"
"ca.m.1191",1884-02-06,"male"
"ca.m.1193",1918-03-26,"male"
"ca.m.1194",1887-03-04,"male"
"ca.m.1196",1888-10-18,"female"
"ca.m.12",1950-04-19,"male"
"ca.m.120",1944-12-12,"male"
"ca.m.1201",1890-03-24,"female"
"ca.m.1202",1933-07-05,"male"
"ca.m.1203",1858-10-29,"male"
"ca.m.1204",1908-01-15,"female"
"ca.m.1208",1911-04-28,"male"
"ca.m.1209",1873-08-08,"male"
"ca.m.121",1949-10-05,"male"
"ca.m.1215",1883-08-30,"male"
"ca.m.1217",1880-02-25,"male"
"ca.m.1218",1948-02-13,"male"
"ca.m.1219",1907-03-27,"male"
"ca.m.122",1958-03-10,"male"
"ca.m.1220",1906-06-28,"male"
"ca.m.1222",1853-04-30,"male"
"ca.m.1223",1929-10-02,"male"
"ca.m.1225",1916-04-24,"male"
"ca.m.1227",1919-09-18,"male"
"ca.m.1230",1882-05-27,"male"
"ca.m.1232",1902-05-06,"male"
"ca.m.1235",1916-02-04,"female"
"ca.m.1236",1907-08-23,"male"
"ca.m.124",1939-03-17,"male"
"ca.m.1240",1941-08-05,"male"
"ca.m.1241",1960-05-20,"female"
"ca.m.1244",1889-06-08,"male"
"ca.m.1247",1869-10-11,"male"
"ca.m.1249",1928-01-26,"male"
"ca.m.1258",1847-10-11,"male"
"ca.m.126",1958-10-20,"female"
"ca.m.1260",1912-10-09,"male"
"ca.m.1262",1951-06-08,"male"
"ca.m.127",1953-06-23,"female"
"ca.m.1271",1844-05-08,"male"
"ca.m.1275",1876-02-24,"male"
"ca.m.1277",1864-11-17,"male"
"ca.m.1278",1896-12-07,"male"
"ca.m.128",1959-10-27,"female"
"ca.m.1281",1924-11-02,"male"
"ca.m.1283",1923-05-05,"male"
"ca.m.1284",1872-01-18,"male"
"ca.m.1287",1929-05-20,"male"
"ca.m.129",1969-02-19,"female"
"ca.m.1290",1910-11-14,"male"
"ca.m.1292",1894-04-19,"male"
"ca.m.1293",1868-12-11,"male"
"ca.m.1296",1890-02-06,"male"
"ca.m.1297",1926-07-28,"male"
"ca.m.130",1953-12-26,"male"
"ca.m.1300",1938-12-03,"male"
"ca.m.1303",1922-12-08,"male"
"ca.m.1305",1879-09-17,"male"
"ca.m.1307",1877-07-23,"male"
"ca.m.131",1943-02-19,"male"
"ca.m.1312",1888-12-13,"male"
"ca.m.1316",1865-03-17,"male"
"ca.m.132",1959-04-30,"male"
"ca.m.1323",1924-04-26,"male"
"ca.m.1326",1973-06-14,"male"
"ca.m.1327",1926-10-23,"male"
"ca.m.133",1944-09-06,"male"
"ca.m.1330",1890-08-07,"male"
"ca.m.1333",1877-12-15,"male"
"ca.m.1334",1815-10-15,"male"
"ca.m.1335",1894-07-24,"male"
"ca.m.1345",1874-01-01,"male"
"ca.m.135",1943-03-25,"male"
"ca.m.1350",1866-04-26,"male"
"ca.m.1351",1888-08-07,"male"
"ca.m.1353",1894-01-26,"male"
"ca.m.1358",1852-03-06,"male"
"ca.m.1359",1857-04-19,"male"
"ca.m.136",NA,"male"
"ca.m.1361",1896-07-30,"male"
"ca.m.1362",1933-12-13,"male"
"ca.m.1363",1883-11-30,"male"
"ca.m.1365",1874-11-02,"male"
"ca.m.1366",1882-01-04,"male"
"ca.m.1367",1930-07-24,"male"
"ca.m.1368",1928-01-01,"male"
"ca.m.1369",1845-07-07,"male"
"ca.m.137",1952-12-27,"male"
"ca.m.1371",1983-10-21,"female"
"ca.m.1372",1877-03-14,"male"
"ca.m.1373",1872-08-10,"male"
"ca.m.1374",1885-10-02,"male"
"ca.m.1375",1861-10-31,"male"
"ca.m.1377",1926-03-27,"male"
"ca.m.138",1950-02-22,"female"
"ca.m.1382",1850-04-07,"male"
"ca.m.1386",1939-03-25,"male"
"ca.m.1387",1871-09-29,"male"
"ca.m.1389",1891-12-25,"male"
"ca.m.139",1974-10-16,"male"
"ca.m.1390",1921-04-30,"male"
"ca.m.1392",1923-11-12,"male"
"ca.m.1393",1922-11-09,"female"
"ca.m.1394",1871-04-26,"male"
"ca.m.1395",1868-07-03,"male"
"ca.m.1397",1905-10-08,"male"
"ca.m.14",1951-01-03,"male"
"ca.m.140",1940-10-29,"male"
"ca.m.1406",1863-10-25,"male"
"ca.m.1407",1844-09-12,"male"
"ca.m.1410",1934-06-16,"male"
"ca.m.1412",1881-06-01,"male"
"ca.m.1413",1848-01-11,"male"
